"Timestamp","Actor","Action","Entity Type","Entity ID","Message"
"2026-08-04T00:30:47.163212500","SYSTEM","REFERENCE_DATA_READY","Database","-","Default rooms and add-ons are ready."
"2026-08-04T00:30:47.163212500","SYSTEM","ADMIN_ACCOUNT_CREATED","AdminUser","1","Default ADMIN account created for username admin."
"2026-08-04T00:30:47.163212500","SYSTEM","ADMIN_ACCOUNT_CREATED","AdminUser","2","Default MANAGER account created for username manager."
"2026-08-04T00:30:47.163212500","admin","LOGIN_SUCCESS","AdminUser","1","Administrator logged in successfully with role ADMIN."
"2026-08-04T00:30:47.163212500","admin","RESERVATION_SEARCH","Reservation","-","Search returned 16 reservation(s)."
"2026-08-04T00:30:47.163212500","admin","FEEDBACK_SEARCH","Feedback","-","Feedback search returned 0 row(s)."
"2026-08-04T00:30:47.163212500","admin","REVENUE_REPORT","Report","-","Generated 4 report row(s)."
"2026-08-04T00:30:47.163212500","admin","REVENUE_REPORT","Report","-","Generated 4 report row(s)."
"2026-08-04T00:30:47.163212500","SYSTEM","REFERENCE_DATA_READY","Database","-","Default rooms and add-ons are ready."
"2026-08-04T00:30:47.163212500","admin","LOGIN_SUCCESS","AdminUser","1","Administrator logged in successfully with role ADMIN."
"2026-08-04T00:30:47.163212500","SYSTEM","REFERENCE_DATA_READY","Database","-","Default rooms and add-ons are ready."
"2026-08-04T00:30:47.163212500","SYSTEM","REFERENCE_DATA_READY","Database","-","Default rooms and add-ons are ready."
"2026-08-04T00:30:47.163212500","SYSTEM","ADMIN_ACCOUNT_CREATED","AdminUser","3","Default ADMIN account created for username admin."
"2026-08-04T00:30:47.163212500","SYSTEM","ADMIN_ACCOUNT_CREATED","AdminUser","4","Default MANAGER account created for username manager."
"2026-08-04T00:30:47.163212500","SYSTEM","REFERENCE_DATA_READY","Database","-","Default rooms and add-ons are ready."
"2026-08-04T00:30:47.163212500","admin","LOGIN_SUCCESS","AdminUser","3","Administrator logged in successfully with role ADMIN."
"2026-08-04T00:30:47.163212500","admin","RESERVATION_SEARCH","Reservation","-","Search returned 0 reservation(s)."
